gender,race_ethnicity,parent_level_of_education,lunch,test_prep_course,math_score,reading_score,writing_score,average_score,pass_npass
female,group C,associate's degree,free/reduced,none,28,32,28,29.3,0
female,group D,some high school,standard,none,83,92,93,89.3,1
female,group E,some college,standard,completed,86,89,89,88,1
female,group D,some high school,free/reduced,completed,64,75,81,73.3,1
male,group B,high school,free/reduced,none,65,55,51,57,1
female,group B,some college,free/reduced,completed,69,85,84,79.3,1
female,group B,high school,standard,completed,66,62,66,64.7,1
female,group E,some college,free/reduced,none,41,60,55,52,1
male,group D,master's degree,free/reduced,completed,67,71,70,69.3,1
male,group C,bachelor's degree,free/reduced,completed,57,65,56,59.3,1
female,group C,associate's degree,free/reduced,completed,42,50,61,51,1
female,group D,high school,free/reduced,none,75,81,87,81,1
female,group C,associate's degree,standard,completed,77,90,97,88,1
male,group B,master's degree,free/reduced,none,65,65,62,64,1
female,group E,some high school,standard,completed,87,90,90,89,1
female,group D,high school,free/reduced,completed,72,76,78,75.3,1
female,group E,high school,standard,none,71,83,79,77.7,1
female,group C,some college,free/reduced,completed,60,80,76,72,1
female,group D,high school,free/reduced,completed,67,75,84,75.3,1
female,group C,high school,standard,none,54,73,64,63.7,1
male,group B,bachelor's degree,free/reduced,completed,48,59,55,54,1
male,group C,high school,standard,completed,67,63,67,65.7,1
male,group B,some high school,free/reduced,completed,58,56,53,55.7,1
female,group C,high school,standard,completed,80,83,86,83,1
female,group B,some college,standard,none,84,100,96,93.3,1
male,group C,some college,standard,completed,48,38,46,44,0
female,group B,some college,free/reduced,completed,55,67,68,63.3,1
female,group C,some high school,standard,completed,69,84,81,78,1
male,group C,high school,standard,none,74,72,62,69.3,1
female,group D,some high school,standard,none,62,68,65,65,1
male,group D,high school,standard,completed,76,75,77,76,1
male,group B,bachelor's degree,standard,none,84,81,72,79,1
male,group E,high school,standard,none,93,86,76,85,1
male,group E,associate's degree,standard,none,56,44,44,48,0
female,group B,some high school,standard,none,52,65,60,59,1
female,group C,some college,standard,completed,81,90,93,88,1
male,group E,high school,standard,completed,84,79,75,79.3,1
male,group D,some high school,standard,none,55,50,47,50.7,1
male,group C,high school,free/reduced,completed,54,53,51,52.7,1
male,group B,some high school,free/reduced,none,46,41,40,42.3,0
male,group D,high school,free/reduced,none,48,46,50,48,0
male,group C,some high school,standard,none,79,65,67,70.3,1
female,group E,high school,free/reduced,completed,66,66,75,69,1
male,group A,associate's degree,free/reduced,completed,56,60,63,59.7,1
female,group E,associate's degree,free/reduced,none,60,74,68,67.3,1
female,group B,associate's degree,standard,none,75,91,81,82.3,1
male,group A,some high school,standard,completed,79,65,65,69.7,1
male,group C,high school,free/reduced,completed,41,57,55,51,1
female,group C,associate's degree,free/reduced,none,35,40,45,40,0
female,group A,some college,free/reduced,none,54,56,58,56,1
male,group C,some high school,standard,none,67,65,62,64.7,1
female,group D,high school,standard,completed,85,98,99,94,1
female,group E,associate's degree,standard,none,92,100,99,97,1
male,group D,associate's degree,standard,completed,99,100,100,99.7,1
female,group C,some high school,free/reduced,completed,52,59,58,56.3,1
male,group C,associate's degree,free/reduced,none,73,66,68,69,1
female,group D,some high school,free/reduced,completed,62,75,79,72,1
male,group E,some high school,standard,none,75,71,68,71.3,1
female,group B,associate's degree,standard,none,90,94,93,92.3,1
male,group D,high school,free/reduced,none,54,49,48,50.3,1
male,group D,associate's degree,standard,none,81,74,74,76.3,1
male,group C,some high school,free/reduced,none,74,66,64,68,1
male,group B,associate's degree,free/reduced,completed,68,73,72,71,1
male,group D,some college,standard,none,74,74,70,72.7,1
male,group C,high school,free/reduced,none,51,57,44,50.7,1
female,group C,some high school,standard,none,68,77,75,73.3,1
male,group B,some college,standard,none,69,59,57,61.7,1
male,group E,some college,standard,completed,100,89,86,91.7,1
female,group C,some college,standard,none,53,59,59,57,1
male,group C,bachelor's degree,free/reduced,completed,72,70,70,70.7,1
male,group B,bachelor's degree,free/reduced,none,50,40,38,42.7,0
female,group A,high school,standard,none,61,69,69,66.3,1
male,group C,high school,standard,none,65,69,56,63.3,1
female,group D,high school,free/reduced,none,15,39,40,31.3,0
male,group C,some high school,free/reduced,none,64,56,52,57.3,1
male,group C,high school,standard,none,77,70,60,69,1
female,group D,some college,standard,completed,61,63,70,64.7,1
female,group B,high school,free/reduced,completed,49,66,60,58.3,1
male,group C,bachelor's degree,standard,none,70,49,53,57.3,1
male,group A,associate's degree,standard,none,60,56,57,57.7,1
female,group D,some college,standard,none,84,97,96,92.3,1
male,group D,high school,free/reduced,none,51,56,50,52.3,1
male,group C,bachelor's degree,standard,none,74,61,68,67.7,1
female,group B,bachelor's degree,standard,completed,64,77,79,73.3,1
female,group C,some college,standard,completed,67,74,81,74,1
male,group C,associate's degree,standard,none,76,61,62,66.3,1
male,group D,some high school,standard,completed,70,66,72,69.3,1
female,group C,some college,standard,none,85,92,84,87,1
female,group D,some high school,standard,none,53,55,57,55,1
male,group C,high school,standard,none,84,71,66,73.7,1
male,group B,some high school,standard,none,55,49,44,49.3,0
female,group C,high school,standard,none,50,62,63,58.3,1
male,group C,some high school,free/reduced,none,79,77,71,75.7,1
male,group C,associate's degree,standard,none,81,77,71,76.3,1
male,group D,associate's degree,standard,completed,89,75,80,81.3,1
male,group C,associate's degree,free/reduced,completed,59,68,66,64.3,1
male,group D,some college,standard,completed,82,79,81,80.7,1
male,group D,associate's degree,standard,none,86,84,82,84,1
female,group D,some college,free/reduced,none,41,58,60,53,1
female,group D,master's degree,standard,completed,64,67,72,67.7,1
male,group A,associate's degree,free/reduced,completed,68,71,64,67.7,1
male,group E,high school,free/reduced,completed,74,67,61,67.3,1
female,group C,some college,free/reduced,completed,44,44,53,47,0
female,group C,high school,free/reduced,completed,34,66,59,53,1
male,group B,some high school,standard,completed,45,50,48,47.7,0
female,group C,master's degree,standard,completed,83,86,90,86.3,1
male,group C,some college,standard,none,55,65,57,59,1
male,group E,high school,free/reduced,none,61,56,52,56.3,1
female,group B,high school,standard,completed,81,89,88,86,1
male,group B,associate's degree,free/reduced,none,45,52,45,47.3,0
male,group B,high school,standard,none,71,63,61,65,1
male,group C,bachelor's degree,standard,completed,62,67,68,65.7,1
female,group E,some college,standard,completed,78,83,76,79,1
male,group D,some college,standard,none,76,74,71,73.7,1
female,group A,associate's degree,standard,completed,73,68,81,74,1
female,group C,associate's degree,standard,none,82,91,85,86,1
male,group D,some college,standard,completed,69,58,60,62.3,1
male,group D,bachelor's degree,free/reduced,none,72,71,65,69.3,1
female,group B,high school,standard,completed,72,73,72,72.3,1
male,group B,associate's degree,free/reduced,none,57,59,62,59.3,1
male,group A,high school,standard,completed,83,71,69,74.3,1
male,group C,some high school,standard,none,68,76,72,72,1
female,group C,some high school,free/reduced,completed,62,74,71,69,1
male,group D,associate's degree,standard,none,99,97,95,97,1
male,group B,high school,standard,completed,88,87,85,86.7,1
female,group C,high school,standard,none,56,68,66,63.3,1
female,group B,associate's degree,standard,none,68,70,76,71.3,1
male,group C,high school,standard,completed,75,69,67,70.3,1
female,group C,some college,standard,none,45,46,47,46,0
male,group C,high school,free/reduced,none,72,68,62,67.3,1
male,group E,some college,standard,completed,99,98,93,96.7,1
male,group C,some college,free/reduced,none,76,72,65,71,1
female,group B,some high school,free/reduced,completed,64,72,79,71.7,1
female,group B,some college,standard,none,56,61,65,60.7,1
female,group E,some college,free/reduced,none,74,78,81,77.7,1
male,group D,bachelor's degree,standard,completed,97,91,96,94.7,1
female,group B,some college,standard,none,83,89,88,86.7,1
female,group B,bachelor's degree,standard,completed,55,64,63,60.7,1
female,group B,some college,standard,completed,77,90,93,86.7,1
female,group D,bachelor's degree,standard,none,78,80,79,79,1
female,group E,some high school,standard,completed,89,95,99,94.3,1
male,group A,high school,standard,none,78,72,66,72,1
male,group C,some college,free/reduced,none,33,42,41,38.7,0
female,group D,associate's degree,standard,none,66,72,74,70.7,1
male,group E,some college,standard,completed,87,87,79,84.3,1
female,group B,some college,standard,none,50,48,52,50,0
female,group A,high school,standard,none,79,86,84,83,1
male,group B,bachelor's degree,free/reduced,none,70,70,66,68.7,1
female,group B,some college,free/reduced,completed,47,61,64,57.3,1
female,group C,high school,standard,none,80,84,81,81.7,1
male,group E,some college,standard,completed,91,76,78,81.7,1
female,group D,high school,free/reduced,completed,78,86,88,84,1
male,group D,some college,free/reduced,completed,56,61,62,59.7,1
male,group C,some high school,standard,none,54,56,47,52.3,1
male,group A,associate's degree,standard,completed,79,65,69,71,1
male,group E,associate's degree,standard,completed,93,87,84,88,1
male,group D,some high school,standard,completed,74,78,78,76.7,1
female,group E,associate's degree,free/reduced,none,83,90,95,89.3,1
male,group C,high school,standard,none,90,78,78,82,1
female,group C,some college,free/reduced,completed,62,78,71,70.3,1
female,group D,bachelor's degree,standard,none,58,61,59,59.3,1
male,group E,some college,free/reduced,none,73,73,63,69.7,1
male,group C,some high school,standard,none,63,59,51,57.7,1
male,group D,associate's degree,standard,completed,89,83,81,84.3,1
male,group D,some college,standard,none,75,66,72,71,1
male,group C,some college,free/reduced,none,51,54,51,52,1
female,group C,some high school,free/reduced,completed,58,80,76,71.3,1
female,group C,bachelor's degree,standard,completed,92,88,94,91.3,1
female,group D,associate's degree,free/reduced,none,39,65,64,56,1
female,group B,associate's degree,standard,none,84,90,89,87.7,1
male,group C,some college,standard,completed,71,66,70,69,1
female,group E,high school,standard,none,85,86,88,86.3,1
female,group B,high school,free/reduced,none,59,74,68,67,1
male,group D,bachelor's degree,standard,none,71,67,64,67.3,1
male,group E,some high school,standard,none,74,60,59,64.3,1
male,group D,some college,free/reduced,none,62,58,56,58.7,1
female,group E,associate's degree,free/reduced,completed,83,86,91,86.7,1
male,group D,some college,standard,none,74,63,65,67.3,1
male,group B,some high school,free/reduced,completed,64,62,55,60.3,1
male,group C,some college,standard,none,79,76,69,74.7,1
female,group C,high school,free/reduced,none,24,48,46,39.3,0
male,group E,associate's degree,free/reduced,completed,66,60,64,63.3,1
female,group D,some high school,standard,completed,69,86,87,80.7,1
male,group C,some high school,standard,none,65,58,57,60,1
male,group E,some high school,standard,none,66,63,60,63,1
female,group E,high school,standard,none,54,56,56,55.3,1
male,group D,some high school,standard,none,59,48,48,51.7,1
male,group C,some college,free/reduced,none,60,67,61,62.7,1
female,group D,some college,standard,none,68,76,79,74.3,1
female,group A,high school,standard,none,61,69,66,65.3,1
female,group E,some college,free/reduced,none,84,88,82,84.7,1
female,group B,master's degree,standard,none,62,67,70,66.3,1
female,group A,some high school,standard,none,70,75,70,71.7,1
male,group B,high school,free/reduced,completed,76,81,72,76.3,1
female,group B,associate's degree,standard,completed,81,92,97,90,1
male,group B,master's degree,free/reduced,none,54,60,60,58,1
male,group D,high school,standard,none,67,65,59,63.7,1
male,group A,some high school,standard,completed,56,53,53,54,1
male,group D,bachelor's degree,free/reduced,none,63,59,51,57.7,1
male,group C,associate's degree,free/reduced,none,39,44,36,39.7,0
male,group C,master's degree,standard,none,93,78,77,82.7,1
female,group E,some high school,free/reduced,completed,65,72,76,71,1
male,group A,associate's degree,standard,none,83,83,70,78.7,1
male,group D,associate's degree,free/reduced,completed,75,78,77,76.7,1
male,group C,some college,free/reduced,none,71,74,73,72.7,1
female,group C,some college,standard,none,46,52,48,48.7,0
female,group D,bachelor's degree,standard,completed,60,74,72,68.7,1
male,group D,bachelor's degree,standard,none,55,35,43,44.3,0
male,group C,master's degree,standard,completed,79,72,74,75,1
male,group C,associate's degree,free/reduced,none,62,55,50,55.7,1
female,group C,high school,standard,completed,55,72,70,65.7,1
female,group B,some college,standard,none,58,64,56,59.3,1
male,group D,associate's degree,free/reduced,none,82,76,75,77.7,1
female,group B,high school,free/reduced,none,30,47,46,41,0
male,group C,some college,standard,none,80,79,74,77.7,1
male,group D,some college,standard,none,98,88,85,90.3,1
female,group A,some college,standard,none,83,91,92,88.7,1
female,group B,bachelor's degree,standard,none,81,84,86,83.7,1
female,group C,high school,free/reduced,completed,54,68,69,63.7,1
female,group D,associate's degree,standard,completed,82,95,100,92.3,1
female,group E,high school,free/reduced,none,62,70,64,65.3,1
female,group E,high school,free/reduced,completed,70,77,86,77.7,1
female,group C,some college,standard,none,77,85,85,82.3,1
male,group C,some college,standard,none,55,48,46,49.7,0
male,group D,high school,standard,completed,78,76,80,78,1
male,group A,associate's degree,free/reduced,completed,69,77,77,74.3,1
female,group B,some college,free/reduced,completed,58,62,64,61.3,1
female,group D,high school,free/reduced,completed,39,52,58,49.7,0
male,group D,some high school,standard,none,80,80,79,79.7,1
male,group B,some college,standard,none,76,70,67,71,1
female,group A,high school,standard,none,52,68,66,62,1
male,group B,master's degree,standard,none,88,78,84,83.3,1
male,group C,master's degree,free/reduced,none,82,69,76,75.7,1
male,group C,some college,free/reduced,none,62,65,61,62.7,1
female,group E,some high school,standard,completed,90,96,98,94.7,1
female,group A,associate's degree,free/reduced,none,41,49,51,47,0
male,group C,some college,free/reduced,completed,59,69,63,63.7,1
female,group B,some college,standard,none,61,69,73,67.7,1
male,group C,bachelor's degree,standard,none,68,56,57,60.3,1
female,group C,associate's degree,standard,none,60,75,72,69,1
female,group B,some high school,free/reduced,completed,37,48,46,43.7,0
male,group E,some college,free/reduced,none,67,67,62,65.3,1
female,group A,associate's degree,standard,none,73,76,74,74.3,1
male,group A,some college,free/reduced,completed,74,75,78,75.7,1
female,group C,some college,free/reduced,completed,67,89,89,81.7,1
female,group B,some college,free/reduced,none,37,51,51,46.3,0
female,group A,high school,standard,none,61,73,74,69.3,1
female,group C,some college,free/reduced,completed,64,81,87,77.3,1
female,group D,some college,standard,none,74,81,82,79,1
male,group C,high school,free/reduced,none,34,37,27,32.7,0
female,group D,high school,standard,none,54,62,62,59.3,1
female,group B,some college,standard,none,65,76,70,70.3,1
male,group D,some college,standard,none,81,86,78,81.7,1
male,group E,master's degree,standard,completed,88,89,87,88,1
male,group D,some high school,standard,none,82,70,67,73,1
female,group C,some high school,standard,none,70,75,78,74.3,1
male,group C,some high school,standard,completed,60,51,55,55.3,1
female,group C,master's degree,standard,none,70,81,75,75.3,1
female,group C,some high school,standard,none,67,72,71,70,1
female,group E,bachelor's degree,standard,completed,98,100,99,99,1
male,group D,some high school,free/reduced,completed,35,56,54,48.3,0
female,group C,associate's degree,standard,none,69,82,78,76.3,1
male,group D,high school,free/reduced,completed,38,38,41,39,0
male,group A,high school,free/reduced,none,70,74,65,69.7,1
female,group E,some high school,free/reduced,completed,42,59,59,53.3,1
female,group A,some high school,free/reduced,none,47,58,54,53,1
female,group B,bachelor's degree,free/reduced,completed,49,57,61,55.7,1
male,group E,some college,standard,completed,90,93,91,91.3,1
male,group D,associate's degree,free/reduced,none,49,54,50,51,1
male,group D,master's degree,free/reduced,none,83,86,87,85.3,1
male,group C,associate's degree,free/reduced,none,82,86,78,82,1
female,group C,associate's degree,standard,none,72,69,70,70.3,1
female,group D,associate's degree,standard,none,67,67,67,67,1
male,group B,master's degree,standard,none,92,89,83,88,1
female,group C,master's degree,standard,none,59,64,64,62.3,1
male,group D,bachelor's degree,standard,none,64,63,64,63.7,1
female,group C,some high school,standard,none,88,90,90,89.3,1
male,group D,some college,standard,none,92,77,84,84.3,1
male,group C,associate's degree,free/reduced,none,82,73,74,76.3,1
female,group C,some college,standard,none,59,72,70,67,1
male,group C,high school,free/reduced,none,45,43,47,45,0
male,group C,high school,free/reduced,none,56,67,62,61.7,1
male,group B,high school,standard,none,52,48,49,49.7,0
male,group D,associate's degree,standard,none,86,72,76,78,1
female,group D,some college,standard,completed,81,93,94,89.3,1
female,group B,associate's degree,free/reduced,none,61,64,63,62.7,1
male,group B,high school,standard,none,51,52,46,49.7,0
female,group D,bachelor's degree,free/reduced,none,69,85,83,79,1
male,group B,high school,standard,none,81,71,62,71.3,1
female,group D,bachelor's degree,free/reduced,none,73,85,83,80.3,1
female,group E,bachelor's degree,standard,completed,92,87,92,90.3,1
male,group E,associate's degree,standard,none,71,63,53,62.3,1
female,group C,high school,standard,none,61,57,55,57.7,1
male,group C,associate's degree,standard,none,80,76,74,76.7,1
male,group B,some high school,free/reduced,none,38,38,30,35.3,0
male,group B,some high school,standard,completed,72,62,62,65.3,1
female,group E,some college,standard,completed,96,98,100,98,1
female,group B,associate's degree,standard,completed,64,66,72,67.3,1
female,group B,some high school,standard,none,44,65,59,56,1
female,group D,some college,standard,completed,81,99,96,92,1
male,group B,high school,standard,completed,85,75,72,77.3,1
male,group E,associate's degree,standard,none,82,76,71,76.3,1
male,group B,associate's degree,standard,none,72,67,64,67.7,1
female,group C,master's degree,free/reduced,none,43,57,59,53,1
female,group B,some college,standard,none,58,69,63,63.3,1
male,group E,some college,free/reduced,completed,72,73,75,73.3,1
male,group D,some college,standard,completed,80,67,72,73,1
male,group D,high school,standard,none,81,62,61,68,1
male,group E,some high school,free/reduced,none,66,60,59,61.7,1
male,group B,associate's degree,standard,none,74,65,61,66.7,1
male,group D,master's degree,free/reduced,completed,75,70,76,73.7,1
male,group C,some college,standard,none,68,58,54,60,1
male,group D,some high school,free/reduced,none,67,63,63,64.3,1
male,group B,some college,standard,none,58,47,45,50,0
male,group D,some college,standard,none,79,56,68,67.7,1
male,group C,some high school,standard,none,63,63,63,63,1
female,group B,associate's degree,free/reduced,none,59,72,72,67.7,1
male,group C,bachelor's degree,free/reduced,none,47,53,42,47.3,0
male,group D,some college,free/reduced,completed,67,78,70,71.7,1
male,group A,some college,standard,completed,92,86,88,88.7,1
male,group D,associate's degree,standard,none,44,45,41,43.3,0
male,group C,master's degree,free/reduced,none,57,54,48,53,1
female,group D,bachelor's degree,standard,completed,83,100,100,94.3,1
female,group A,master's degree,standard,completed,68,76,76,73.3,1
male,group B,associate's degree,standard,none,59,52,45,52,1
female,group B,some high school,free/reduced,none,36,51,49,45.3,0
male,group A,some college,standard,completed,56,51,44,50.3,1
female,group E,high school,free/reduced,completed,80,94,97,90.3,1
male,group C,some college,free/reduced,completed,62,72,67,67,1
male,group D,some high school,standard,none,90,72,79,80.3,1
male,group A,associate's degree,standard,completed,55,62,58,58.3,1
female,group C,bachelor's degree,free/reduced,completed,44,45,52,47,0
male,group C,high school,standard,completed,72,63,66,67,1
female,group E,high school,standard,none,92,94,94,93.3,1
male,group B,high school,free/reduced,completed,73,68,71,70.7,1
female,group D,high school,standard,completed,75,74,75,74.7,1
male,group E,associate's degree,standard,completed,82,78,78,79.3,1
male,group C,some high school,standard,none,84,84,74,80.7,1
male,group C,master's degree,standard,none,81,80,73,78,1
male,group A,some college,standard,none,82,68,63,71,1
female,group C,master's degree,standard,completed,79,92,87,86,1
female,group C,high school,standard,none,31,49,42,40.7,0
male,group E,some high school,standard,none,73,62,59,64.7,1
female,group E,some college,standard,none,89,93,98,93.3,1
male,group E,bachelor's degree,standard,completed,100,100,100,100,1
female,group D,associate's degree,free/reduced,completed,47,58,56,53.7,1
male,group E,some high school,standard,none,94,75,75,81.3,1
male,group B,associate's degree,standard,completed,79,77,75,77,1
male,group C,high school,free/reduced,completed,77,80,74,77,1
male,group D,some college,standard,none,63,60,53,58.7,1
male,group A,high school,standard,none,56,45,38,46.3,0
female,group B,associate's degree,free/reduced,completed,58,67,70,65,1
male,group C,some college,standard,completed,77,80,85,80.7,1
female,group E,some college,standard,completed,82,85,91,86,1
female,group B,high school,free/reduced,none,51,69,64,61.3,1
male,group E,some high school,standard,none,92,80,78,83.3,1
female,group C,high school,standard,none,87,90,85,87.3,1
male,group E,associate's degree,standard,completed,88,78,86,84,1
female,group C,some college,standard,none,77,79,78,78,1
female,group E,some college,standard,none,62,65,65,64,1
male,group D,associate's degree,standard,none,61,56,56,57.7,1
female,group C,associate's degree,free/reduced,none,65,66,66,65.7,1
male,group E,master's degree,standard,completed,84,76,81,80.3,1
female,group D,some high school,free/reduced,none,30,59,51,46.7,0
male,group A,associate's degree,free/reduced,completed,63,61,64,62.7,1
female,group E,high school,standard,none,79,78,83,80,1
female,group C,some college,standard,none,51,72,63,62,1
female,group D,some college,standard,none,66,70,67,67.7,1
female,group D,associate's degree,standard,none,63,69,66,66,1
female,group D,associate's degree,free/reduced,none,71,78,81,76.7,1
female,group C,master's degree,standard,none,69,76,71,72,1
female,group C,some college,free/reduced,none,70,81,76,75.7,1
male,group D,some high school,standard,none,67,59,59,61.7,1
female,group C,some high school,standard,none,53,48,49,50,0
female,group B,bachelor's degree,free/reduced,none,50,62,62,58,1
female,group C,high school,standard,none,59,63,61,61,1
female,group C,high school,free/reduced,completed,54,72,68,64.7,1
male,group E,some college,standard,none,81,72,70,74.3,1
male,group C,high school,standard,none,69,58,52,59.7,1
male,group E,high school,standard,none,87,84,76,82.3,1
female,group B,bachelor's degree,standard,none,88,84,88,86.7,1
female,group E,bachelor's degree,standard,none,52,53,55,53.3,1
female,group C,some high school,standard,none,60,61,57,59.3,1
female,group D,some high school,standard,completed,77,83,84,81.3,1
male,group C,associate's degree,free/reduced,completed,47,49,49,48.3,0
male,group C,some college,standard,none,76,65,58,66.3,1
female,group B,some college,standard,completed,92,100,100,97.3,1
female,group E,some high school,standard,none,87,87,84,86,1
female,group D,high school,standard,none,74,82,81,79,1
male,group A,some high school,standard,completed,67,60,69,65.3,1
male,group B,some college,free/reduced,none,56,47,48,50.3,1
female,group D,associate's degree,standard,none,84,92,90,88.7,1
male,group B,associate's degree,standard,none,73,54,57,61.3,1
male,group D,master's degree,free/reduced,none,75,65,65,68.3,1
male,group D,high school,standard,completed,70,72,67,69.7,1
male,group C,high school,standard,none,79,72,72,74.3,1
male,group C,bachelor's degree,standard,completed,86,77,80,81,1
female,group B,high school,standard,completed,77,83,91,83.7,1
male,group D,high school,free/reduced,completed,58,67,67,64,1
male,group C,some college,free/reduced,completed,70,66,68,68,1
female,group D,master's degree,standard,none,69,67,78,71.3,1
male,group D,some college,standard,completed,94,97,95,95.3,1
female,group E,some college,free/reduced,none,76,82,81,79.7,1
female,group C,high school,standard,none,71,72,69,70.7,1
male,group C,associate's degree,standard,none,76,72,73,73.7,1
male,group D,bachelor's degree,free/reduced,none,85,78,81,81.3,1
male,group C,some high school,standard,none,94,84,80,86,1
male,group E,master's degree,standard,none,91,82,74,82.3,1
male,group D,associate's degree,standard,completed,100,100,98,99.3,1
male,group B,high school,standard,none,65,66,61,64,1
female,group D,bachelor's degree,free/reduced,none,68,79,78,75,1
male,group C,high school,free/reduced,none,59,60,56,58.3,1
female,group B,bachelor's degree,standard,none,73,87,89,83,1
male,group B,some college,free/reduced,completed,76,83,78,79,1
female,group C,some high school,standard,none,86,92,83,87,1
female,group C,associate's degree,standard,completed,75,74,80,76.3,1
male,group D,some high school,standard,none,68,53,53,58,1
female,group D,high school,free/reduced,none,68,73,71,70.7,1
male,group D,some college,standard,none,59,62,52,57.7,1
male,group B,bachelor's degree,standard,none,84,80,77,80.3,1
male,group D,some college,free/reduced,none,67,58,58,61,1
male,group C,associate's degree,free/reduced,none,59,64,60,61,1
male,group C,bachelor's degree,free/reduced,none,58,66,67,63.7,1
male,group D,associate's degree,standard,none,72,62,60,64.7,1
female,group A,associate's degree,standard,none,61,65,59,61.7,1
female,group B,some high school,free/reduced,none,55,70,60,61.7,1
female,group D,bachelor's degree,standard,none,41,51,53,48.3,0
female,group D,some college,free/reduced,none,36,45,44,41.7,0
male,group E,associate's degree,standard,completed,84,75,75,78,1
male,group E,associate's degree,free/reduced,none,57,45,42,48,0
female,group C,associate's degree,standard,none,81,96,93,90,1
male,group A,some high school,standard,none,59,60,50,56.3,1
male,group D,some college,free/reduced,none,66,56,56,59.3,1
male,group C,some college,free/reduced,completed,65,62,63,63.3,1
female,group C,associate's degree,standard,none,65,85,80,76.7,1
female,group A,some high school,free/reduced,completed,53,77,75,68.3,1
male,group B,some high school,standard,none,79,69,70,72.7,1
female,group C,associate's degree,standard,completed,89,86,92,89,1
female,group E,high school,free/reduced,none,85,91,88,88,1
female,group C,some college,standard,none,79,93,81,84.3,1
female,group B,associate's degree,standard,completed,83,96,96,91.7,1
female,group E,some high school,free/reduced,none,62,71,61,64.7,1
female,group E,some college,standard,none,64,68,60,64,1
female,group E,bachelor's degree,standard,none,66,65,76,69,1
female,group B,some high school,free/reduced,none,36,52,51,46.3,0
female,group C,some high school,standard,none,74,77,72,74.3,1
female,group B,bachelor's degree,standard,completed,85,96,95,92,1
female,group C,high school,standard,completed,44,69,68,60.3,1
female,group E,some college,standard,completed,68,78,77,74.3,1
female,group C,some college,standard,completed,59,66,71,65.3,1
male,group B,high school,standard,none,64,57,52,57.7,1
female,group C,some college,free/reduced,none,62,74,74,70,1
male,group C,master's degree,free/reduced,none,45,53,45,47.7,0
male,group D,high school,standard,none,85,81,83,83,1
male,group C,some high school,standard,none,45,48,46,46.3,0
male,group B,associate's degree,standard,none,81,66,58,68.3,1
male,group C,high school,standard,none,65,70,57,64,1
female,group C,high school,free/reduced,none,48,60,55,54.3,1
female,group C,high school,standard,none,59,66,69,64.7,1
female,group C,some college,standard,completed,80,88,90,86,1
female,group A,bachelor's degree,standard,completed,66,80,75,73.7,1
female,group B,bachelor's degree,standard,completed,80,93,99,90.7,1
male,group E,some high school,free/reduced,none,47,54,48,49.7,0
female,group B,high school,standard,none,74,90,83,82.3,1
male,group B,bachelor's degree,free/reduced,none,55,59,49,54.3,1
male,group D,associate's degree,standard,none,100,93,89,94,1
male,group C,some high school,standard,none,83,84,78,81.7,1
male,group C,associate's degree,standard,none,76,74,67,72.3,1
male,group E,some high school,standard,completed,87,83,80,83.3,1
male,group C,some high school,standard,none,28,27,23,26,0
male,group D,some high school,standard,completed,76,78,79,77.7,1
female,group E,bachelor's degree,standard,none,86,87,90,87.7,1
female,group A,bachelor's degree,free/reduced,none,65,64,73,67.3,1
male,group D,master's degree,standard,none,88,72,78,79.3,1
female,group D,master's degree,standard,completed,87,95,100,94,1
male,group D,some high school,standard,none,51,53,45,49.7,0
male,group D,associate's degree,standard,completed,67,62,67,65.3,1
female,group C,some high school,standard,none,70,77,76,74.3,1
female,group A,associate's degree,standard,none,72,77,77,75.3,1
male,group A,associate's degree,free/reduced,completed,75,67,67,69.7,1
male,group D,some high school,standard,none,83,74,80,79,1
female,group B,associate's degree,standard,none,82,97,90,89.7,1
male,group C,some college,standard,none,77,77,71,75,1
male,group C,some college,standard,none,80,66,66,70.7,1
female,group A,high school,standard,completed,67,86,86,79.7,1
male,group E,high school,standard,none,80,72,62,71.3,1
male,group D,high school,standard,none,58,47,45,50,0
